politico,pais,cargo,texto,texto_original,idioma_original,ano,contexto,fonte
Getúlio Vargas,Brasil,Presidente do Brasil,"Serenamente dou o primeiro passo no caminho da eternidade e saio da vida para entrar na História.","Serenamente dou o primeiro passo no caminho da eternidade e saio da vida para entrar na História.",pt,1954,Carta-testamento,
Juscelino Kubitschek,Brasil,Presidente do Brasil,"Cinquenta anos em cinco.","Cinquenta anos em cinco.",pt,1956,Lema do Plano de Metas,
Tancredo Neves,Brasil,Presidente eleito do Brasil,"Não vamos nos dispersar. Continuemos reunidos, como nas praças públicas, com a mesma emoção, a mesma dignidade e a mesma decisão.","Não vamos nos dispersar. Continuemos reunidos, como nas praças públicas, com a mesma emoção, a mesma dignidade e a mesma decisão.",pt,1985,Discurso no Colégio Eleitoral,https://pt.wikisource.org/wiki/Discurso_do_Presidente_Tancredo_Neves_no_Col%C3%A9gio_Eleitoral_(15_de_janeiro_de_1985)
Ulysses Guimarães,Brasil,Presidente da Assembleia Nacional Constituinte,"Temos ódio à ditadura. Ódio e nojo.","Temos ódio à ditadura. Ódio e nojo.",pt,1988,Promulgação da Constituição,https://www12.senado.leg.br/noticias/materias/2008/09/29/em-discurso-historico-ulysses-guimaraes-comemora-a-promulgacao-da-carta-de-1988
Rui Barbosa,Brasil,Senador,"De tanto ver triunfar as nulidades, de tanto ver prosperar a desonra, de tanto ver crescer a injustiça, de tanto ver agigantarem-se os poderes nas mãos dos maus, o homem chega a desanimar da virtude, a rir-se da honra, a ter vergonha de ser honesto.","De tanto ver triunfar as nulidades, de tanto ver prosperar a desonra, de tanto ver crescer a injustiça, de tanto ver agigantarem-se os poderes nas mãos dos maus, o homem chega a desanimar da virtude, a rir-se da honra, a ter vergonha de ser honesto.",pt,1914,Discurso no Senado Federal,https://pt.wikiquote.org/wiki/Ruy_Barbosa
Luiz Inácio Lula da Silva,Brasil,Presidente do Brasil,"Nunca antes na história deste país.","Nunca antes na história deste país.",pt,2003,Bordão recorrente em discursos presidenciais,
Jair Bolsonaro,Brasil,Presidente do Brasil,"Brasil acima de tudo, Deus acima de todos.","Brasil acima de tudo, Deus acima de todos.",pt,2018,Lema da campanha presidencial,
Dom Pedro I,Brasil,Príncipe regente e Imperador do Brasil,"Independência ou morte!","Independência ou morte!",pt,1822,Grito do Ipiranga (segundo a tradição),
Winston Churchill,Reino Unido,Primeiro-ministro do Reino Unido,"Não tenho nada a oferecer além de sangue, labuta, lágrimas e suor.","I have nothing to offer but blood, toil, tears and sweat.",en,1940,Primeiro discurso como primeiro-ministro na Câmara dos Comuns,
Winston Churchill,Reino Unido,Primeiro-ministro do Reino Unido,"Lutaremos nas praias, lutaremos nos campos e nas ruas, lutaremos nas colinas; nós nunca nos renderemos.","We shall fight on the beaches, we shall fight on the landing grounds, we shall fight in the fields and in the streets, we shall fight in the hills; we shall never surrender.",en,1940,Discurso na Câmara dos Comuns após Dunquerque,
Winston Churchill,Reino Unido,Primeiro-ministro do Reino Unido,"Nunca, no campo do conflito humano, tantos deveram tanto a tão poucos.","Never in the field of human conflict was so much owed by so many to so few.",en,1940,Homenagem aos pilotos da Batalha da Inglaterra,
John F. Kennedy,Estados Unidos,Presidente dos Estados Unidos,"Não pergunte o que o seu país pode fazer por você; pergunte o que você pode fazer pelo seu país.","Ask not what your country can do for you; ask what you can do for your country.",en,1961,Discurso de posse,
Abraham Lincoln,Estados Unidos,Presidente dos Estados Unidos,"O governo do povo, pelo povo e para o povo não desaparecerá da Terra.","Government of the people, by the people, for the people, shall not perish from the earth.",en,1863,Discurso de Gettysburg,
Abraham Lincoln,Estados Unidos,Político e futuro presidente dos Estados Unidos,"Uma casa dividida contra si mesma não se sustenta.","A house divided against itself cannot stand.",en,1858,Discurso da Casa Dividida,
Franklin D. Roosevelt,Estados Unidos,Presidente dos Estados Unidos,"A única coisa que devemos temer é o próprio medo.","The only thing we have to fear is fear itself.",en,1933,Primeiro discurso de posse,
Ronald Reagan,Estados Unidos,Presidente dos Estados Unidos,"Senhor Gorbachev, derrube este muro!","Mr. Gorbachev, tear down this wall!",en,1987,Discurso no Portão de Brandemburgo em Berlim,
Barack Obama,Estados Unidos,Senador e candidato à presidência,"Sim, nós podemos.","Yes, we can.",en,2008,Discurso após a primária de New Hampshire,
Margaret Thatcher,Reino Unido,Primeira-ministra do Reino Unido,"Deem meia-volta se quiserem. A dama não é de dar meia-volta.","You turn if you want to. The lady's not for turning.",en,1980,Conferência do Partido Conservador,https://www.margaretthatcher.org/document/104431
Nelson Mandela,África do Sul,Líder político e futuro presidente da África do Sul,"Acalentei o ideal de uma sociedade democrática e livre, na qual todos vivam juntos em harmonia e com oportunidades iguais. É um ideal pelo qual estou preparado para morrer.","I have cherished the ideal of a democratic and free society in which all persons live together in harmony and with equal opportunities. It is an ideal for which I am prepared to die.",en,1964,Declaração no Julgamento de Rivonia,
Charles de Gaulle,França,General e líder da França Livre,"Aconteça o que acontecer, a chama da resistência francesa não deve se apagar e não se apagará.","Quoi qu'il arrive, la flamme de la résistance française ne doit pas s'éteindre et ne s'éteindra pas.",fr,1940,Apelo de 18 de junho pela rádio BBC,
Angela Merkel,Alemanha,Chanceler da Alemanha,"Nós vamos conseguir.","Wir schaffen das.",de,2015,Entrevista coletiva sobre a crise de refugiados,
